Heure,mean,median,std,min,max,count,pct_prix_negatifs,pct_prix_bas_15
0,70.21,74.18,35.91,-0.01,137.18,365,0.3,6.6
1,61.21,62.04,36.27,-0.06,137.56,365,0.8,14.0
2,57.54,53.45,35.9,-1.23,137.56,365,1.1,14.0
3,50.79,45.5,35.94,-0.53,126.59,365,1.6,22.7
4,47.94,40.0,36.64,-6.18,128.74,365,2.2,25.2
5,53.36,49.03,36.95,-8.71,131.62,365,1.4,18.1
6,66.02,63.87,39.3,-0.05,159.18,365,0.8,8.8
7,83.05,85.5,47.67,0.0,207.88,365,0.0,8.5
8,90.58,97.01,53.98,-0.52,289.0,365,0.8,8.2
9,77.4,79.26,51.78,-6.08,289.0,365,3.0,14.0
10,61.68,57.1,49.85,-21.03,236.29,365,6.6,25.5
11,51.88,44.08,49.37,-40.51,188.28,365,12.1,34.5
12,48.42,39.99,49.2,-59.82,176.5,365,17.0,38.6
13,41.74,26.62,50.86,-109.55,171.39,365,21.6,42.5
14,40.3,23.57,52.51,-118.01,184.5,365,24.7,44.9
15,45.16,29.98,52.8,-109.84,210.0,365,22.2,41.4
16,53.3,39.46,53.66,-45.93,241.91,365,13.7,36.2
17,68.8,59.59,56.72,-20.09,284.21,365,3.6,22.2
18,89.34,83.7,57.92,-0.82,473.28,365,0.5,8.2
19,104.46,105.29,49.17,0.0,295.57,365,0.0,1.1
20,99.28,105.73,40.14,9.23,220.0,365,0.0,0.8
21,92.73,99.5,35.35,4.6,175.01,365,0.0,0.8
22,91.61,98.53,32.28,14.14,157.0,365,0.0,0.3
23,81.64,88.48,31.43,2.24,145.31,365,0.0,1.9
